                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
69,1.0248,0.73153,1.1816,0.87896,0.73054,0.83651,0.53362,1.4528,1.3145,1.5808,0.00078937,0.00078937,0.00078937
70,0.99688,0.73383,1.1736,0.84366,0.75174,0.83924,0.53281,1.511,1.3254,1.642,0.0007825,0.0007825,0.0007825
71,1.0145,0.7201,1.1766,0.86457,0.74022,0.82895,0.53434,1.5467,1.2464,1.741,0.00077563,0.00077563,0.00077563
72,1.0128,0.7235,1.185,0.8255,0.72747,0.81601,0.52451,1.5582,1.3079,1.7458,0.00076875,0.00076875,0.00076875
73,0.9784,0.72169,1.1581,0.85645,0.74343,0.82728,0.54031,1.5298,1.2348,1.7023,0.00076188,0.00076188,0.00076188
74,1.0105,0.72694,1.1866,0.8586,0.74721,0.81916,0.52881,1.5281,1.2656,1.7025,0.000755,0.000755,0.000755
75,0.99739,0.74114,1.1786,0.83285,0.73305,0.81922,0.52249,1.5668,1.2776,1.7395,0.00074813,0.00074813,0.00074813
76,1.0018,0.71069,1.1756,0.84101,0.7306,0.82079,0.52588,1.507,1.3736,1.6643,0.00074125,0.00074125,0.00074125
77,0.98729,0.70911,1.1726,0.88587,0.74297,0.83017,0.54092,1.4807,1.3245,1.6363,0.00073437,0.00073437,0.00073437
78,0.97764,0.70488,1.1643,0.8653,0.74,0.8362,0.54044,1.4601,1.319,1.6113,0.0007275,0.0007275,0.0007275
79,0.96438,0.69422,1.1563,0.87033,0.71122,0.83209,0.53465,1.4991,1.2614,1.6425,0.00072063,0.00072063,0.00072063
80,0.97235,0.78883,1.1544,0.90145,0.70788,0.83585,0.54153,1.4903,1.2887,1.615,0.00071375,0.00071375,0.00071375
81,0.98221,0.68317,1.1743,0.83915,0.76104,0.83221,0.54032,1.46,1.2852,1.5932,0.00070688,0.00070688,0.00070688
82,0.9592,0.68678,1.1553,0.86239,0.74418,0.83576,0.53962,1.5016,1.2026,1.6571,0.0007,0.0007,0.0007
83,0.97127,0.67984,1.1622,0.8596,0.75988,0.84849,0.54365,1.4887,1.2574,1.6261,0.00069313,0.00069313,0.00069313
84,0.95624,0.6755,1.1513,0.8614,0.76834,0.84476,0.54044,1.4687,1.2913,1.6231,0.00068625,0.00068625,0.00068625
85,0.943,0.65585,1.1377,0.93364,0.69601,0.84268,0.55453,1.5461,1.2874,1.7056,0.00067937,0.00067937,0.00067937
86,0.95785,0.69194,1.1578,0.85451,0.76474,0.84793,0.54496,1.5009,1.3115,1.6437,0.0006725,0.0006725,0.0006725
87,0.95626,0.66093,1.1439,0.80491,0.74532,0.821,0.53474,1.5251,1.2546,1.6879,0.00066562,0.00066562,0.00066562
88,0.94872,0.65581,1.1439,0.86258,0.73717,0.83562,0.5473,1.5314,1.2055,1.702,0.00065875,0.00065875,0.00065875
89,0.94071,0.65772,1.1464,0.82917,0.75909,0.83418,0.52704,1.5625,1.2857,1.6992,0.00065188,0.00065188,0.00065188
90,0.95541,0.6733,1.1561,0.86946,0.74649,0.84708,0.54601,1.4659,1.3223,1.6142,0.000645,0.000645,0.000645
91,0.94787,0.65223,1.1432,0.86493,0.76761,0.84462,0.5511,1.4359,1.261,1.5849,0.00063812,0.00063812,0.00063812
92,0.94805,0.67194,1.1523,0.81867,0.77741,0.84745,0.54889,1.4716,1.2956,1.6236,0.00063125,0.00063125,0.00063125
93,0.94188,0.65684,1.1385,0.9085,0.73657,0.84826,0.54726,1.46,1.3303,1.6198,0.00062438,0.00062438,0.00062438
94,0.92751,0.64666,1.1436,0.82824,0.74448,0.83196,0.53625,1.5133,1.3668,1.679,0.0006175,0.0006175,0.0006175
95,0.94133,0.66968,1.1409,0.87778,0.76557,0.84628,0.55232,1.4776,1.3672,1.6117,0.00061062,0.00061062,0.00061062
96,0.95307,0.66325,1.1474,0.87389,0.72836,0.83749,0.54449,1.4782,1.29,1.6215,0.00060375,0.00060375,0.00060375
97,0.93814,0.65599,1.1419,0.81064,0.78597,0.84167,0.53873,1.5368,1.3247,1.7225,0.00059687,0.00059687,0.00059687
98,0.92441,0.66037,1.1461,0.85595,0.74983,0.84846,0.54701,1.4995,1.2536,1.6322,0.00059,0.00059,0.00059
99,0.91471,0.68317,1.1254,0.85164,0.7311,0.8361,0.52964,1.5518,1.3051,1.7216,0.00058313,0.00058313,0.00058313
100,0.91853,0.64454,1.1312,0.84689,0.74951,0.8359,0.5338,1.5596,1.3251,1.6941,0.00057625,0.00057625,0.00057625
101,0.90934,0.63518,1.1252,0.90792,0.72304,0.84031,0.55522,1.5362,1.3356,1.7087,0.00056938,0.00056938,0.00056938
102,0.91273,0.62618,1.1321,0.87725,0.75589,0.84088,0.54742,1.5565,1.2883,1.7117,0.0005625,0.0005625,0.0005625
103,0.89365,0.62498,1.1141,0.85259,0.74208,0.83185,0.54482,1.4774,1.3258,1.6292,0.00055563,0.00055563,0.00055563
104,0.91927,0.62513,1.1347,0.86644,0.74426,0.83591,0.54177,1.5452,1.3359,1.6899,0.00054875,0.00054875,0.00054875
105,0.91101,0.64423,1.1255,0.84891,0.7565,0.83839,0.54611,1.4767,1.263,1.629,0.00054188,0.00054188,0.00054188
106,0.90434,0.62265,1.1117,0.91586,0.72949,0.83907,0.54065,1.4853,1.3788,1.6572,0.000535,0.000535,0.000535
107,0.9081,0.62406,1.1265,0.84353,0.75949,0.84313,0.5496,1.502,1.3659,1.6555,0.00052812,0.00052812,0.00052812
108,0.90233,0.62959,1.1249,0.85354,0.74629,0.83721,0.54557,1.5028,1.4005,1.6624,0.00052125,0.00052125,0.00052125
109,0.89298,0.61466,1.12,0.86027,0.72899,0.82775,0.53509,1.5098,1.3652,1.6631,0.00051438,0.00051438,0.00051438
110,0.9077,0.61541,1.1258,0.87355,0.75232,0.83763,0.54188,1.54,1.3312,1.6609,0.0005075,0.0005075,0.0005075
111,0.88718,0.61198,1.1147,0.90524,0.73236,0.8476,0.55269,1.5464,1.3268,1.6803,0.00050062,0.00050062,0.00050062
112,0.89828,0.6169,1.1196,0.87974,0.76293,0.84985,0.54468,1.5707,1.2695,1.7209,0.00049375,0.00049375,0.00049375
113,0.89888,0.60321,1.1139,0.89061,0.74304,0.84016,0.55403,1.4911,1.3284,1.6345,0.00048687,0.00048687,0.00048687
114,0.8901,0.61678,1.1206,0.84933,0.77701,0.84089,0.54953,1.5127,1.3322,1.6451,0.00048,0.00048,0.00048
115,0.88098,0.60366,1.1029,0.88647,0.74303,0.8351,0.54343,1.5676,1.2958,1.7232,0.00047313,0.00047313,0.00047313
116,0.91379,0.60223,1.1258,0.88,0.76173,0.84335,0.55121,1.5559,1.3212,1.7215,0.00046625,0.00046625,0.00046625
117,0.87196,0.6023,1.1082,0.8878,0.73097,0.8378,0.5439,1.5283,1.3595,1.6736,0.00045938,0.00045938,0.00045938
118,0.8818,0.58549,1.1097,0.87195,0.74731,0.82465,0.53629,1.4957,1.4292,1.6724,0.0004525,0.0004525,0.0004525
119,0.87275,0.58741,1.1088,0.88046,0.74319,0.84008,0.53692,1.5681,1.3344,1.7499,0.00044563,0.00044563,0.00044563
120,0.86577,0.59135,1.0969,0.86652,0.74161,0.8385,0.53993,1.488,1.3705,1.6729,0.00043875,0.00043875,0.00043875
121,0.87407,0.60632,1.1046,0.84672,0.76841,0.8352,0.54683,1.4806,1.5229,1.6723,0.00043188,0.00043188,0.00043188
122,0.88531,0.59309,1.1142,0.88605,0.74578,0.82874,0.54131,1.5676,1.3579,1.7383,0.000425,0.000425,0.000425
123,0.87404,0.58919,1.1018,0.87417,0.7469,0.82183,0.53739,1.4962,1.5105,1.6584,0.00041812,0.00041812,0.00041812
124,0.87051,0.59091,1.1053,0.87876,0.76583,0.84086,0.54909,1.5595,1.3069,1.6901,0.00041125,0.00041125,0.00041125
125,0.87128,0.59172,1.1138,0.85302,0.7561,0.83702,0.54641,1.5662,1.3293,1.7505,0.00040438,0.00040438,0.00040438
126,0.85418,0.58062,1.0946,0.85343,0.76125,0.82835,0.53677,1.5276,1.4254,1.699,0.0003975,0.0003975,0.0003975
127,0.87141,0.59141,1.099,0.89006,0.74926,0.8337,0.54522,1.4838,1.368,1.6575,0.00039063,0.00039063,0.00039063
128,0.86528,0.59511,1.1102,0.90329,0.74363,0.83411,0.55039,1.4706,1.3969,1.637,0.00038375,0.00038375,0.00038375
129,0.85524,0.56184,1.0916,0.89143,0.74892,0.84215,0.55198,1.5939,1.318,1.7453,0.00037687,0.00037687,0.00037687
130,0.85462,0.56043,1.0939,0.90239,0.75323,0.84886,0.5571,1.5585,1.3442,1.7515,0.00037,0.00037,0.00037
131,0.87381,0.5785,1.106,0.89042,0.73683,0.83662,0.54375,1.5486,1.3628,1.7252,0.00036313,0.00036313,0.00036313
132,0.87431,0.59124,1.1017,0.8997,0.73961,0.83942,0.5512,1.5494,1.3622,1.7253,0.00035625,0.00035625,0.00035625
133,0.86224,0.58412,1.1112,0.88251,0.73746,0.83214,0.53991,1.5597,1.3633,1.7663,0.00034938,0.00034938,0.00034938
134,0.83931,0.57552,1.0928,0.9009,0.72257,0.8293,0.5371,1.5721,1.433,1.75,0.0003425,0.0003425,0.0003425
135,0.85291,0.56981,1.0896,0.85643,0.73086,0.82654,0.53884,1.5369,1.4553,1.7126,0.00033562,0.00033562,0.00033562
136,0.86496,0.5731,1.0956,0.87182,0.73803,0.83335,0.54542,1.5594,1.3953,1.7179,0.00032875,0.00032875,0.00032875
137,0.85576,0.56712,1.1059,0.82232,0.76327,0.83422,0.53775,1.5523,1.4208,1.7525,0.00032188,0.00032188,0.00032188
138,0.83927,0.55048,1.0817,0.91101,0.70864,0.83834,0.54818,1.5575,1.368,1.7288,0.000315,0.000315,0.000315
139,0.82847,0.54953,1.0834,0.87392,0.74262,0.8293,0.54627,1.5651,1.4392,1.754,0.00030813,0.00030813,0.00030813
140,0.85719,0.57288,1.093,0.85895,0.76483,0.83449,0.54239,1.5755,1.4564,1.7664,0.00030125,0.00030125,0.00030125
141,0.84973,0.56317,1.0922,0.89579,0.7301,0.84053,0.54702,1.5586,1.3961,1.73,0.00029437,0.00029437,0.00029437
142,0.82981,0.5772,1.0832,0.88369,0.74115,0.84456,0.54673,1.5612,1.3836,1.7281,0.0002875,0.0002875,0.0002875
143,0.83593,0.55044,1.0874,0.87678,0.74455,0.83843,0.54997,1.5656,1.4042,1.7417,0.00028063,0.00028063,0.00028063
144,0.84441,0.56591,1.0857,0.91282,0.72345,0.84414,0.54922,1.5848,1.3696,1.7657,0.00027375,0.00027375,0.00027375
145,0.84146,0.5537,1.0831,0.87272,0.74656,0.84187,0.55628,1.5885,1.3765,1.7576,0.00026688,0.00026688,0.00026688
146,0.84973,0.55635,1.0843,0.83756,0.76319,0.8483,0.55393,1.5447,1.3639,1.6989,0.00026,0.00026,0.00026
147,0.8323,0.56943,1.0837,0.85527,0.76304,0.84504,0.55079,1.5554,1.3873,1.7312,0.00025312,0.00025312,0.00025312
148,0.82949,0.55223,1.0861,0.85913,0.75174,0.83728,0.5449,1.5735,1.3816,1.7524,0.00024625,0.00024625,0.00024625
149,0.8348,0.56445,1.0878,0.85803,0.75001,0.83181,0.54232,1.5896,1.3855,1.7715,0.00023938,0.00023938,0.00023938
150,0.821,0.54818,1.0729,0.85231,0.75565,0.83065,0.54231,1.5877,1.3933,1.7716,0.0002325,0.0002325,0.0002325
151,0.82393,0.54455,1.0817,0.89179,0.73781,0.83493,0.5431,1.5865,1.3951,1.7509,0.00022563,0.00022563,0.00022563
152,0.80639,0.53181,1.0746,0.89528,0.73868,0.84085,0.54858,1.5544,1.3933,1.7317,0.00021875,0.00021875,0.00021875
153,0.83358,0.54864,1.0816,0.88152,0.75013,0.84342,0.55334,1.5626,1.3752,1.7564,0.00021187,0.00021187,0.00021187
154,0.82519,0.52887,1.0791,0.88885,0.75658,0.83701,0.54921,1.5935,1.3226,1.7736,0.000205,0.000205,0.000205
155,0.7936,0.53177,1.0707,0.8402,0.77003,0.84577,0.55222,1.5842,1.348,1.7691,0.00019813,0.00019813,0.00019813
156,0.83188,0.54431,1.0818,0.89535,0.73782,0.83482,0.5469,1.5832,1.3846,1.7662,0.00019125,0.00019125,0.00019125
157,0.82642,0.55565,1.0763,0.89658,0.73565,0.83343,0.55297,1.5738,1.4503,1.7749,0.00018437,0.00018437,0.00018437
158,0.80807,0.53495,1.0709,0.90727,0.72171,0.83763,0.54971,1.5791,1.4026,1.7822,0.0001775,0.0001775,0.0001775
159,0.82696,0.54058,1.0817,0.8951,0.74137,0.84145,0.55041,1.5661,1.3746,1.7578,0.00017063,0.00017063,0.00017063
160,0.80891,0.53394,1.0728,0.89274,0.7423,0.82907,0.54494,1.5802,1.3774,1.7697,0.00016375,0.00016375,0.00016375
161,0.81097,0.52924,1.0737,0.89354,0.73947,0.83826,0.5469,1.5763,1.3699,1.753,0.00015688,0.00015688,0.00015688
162,0.80951,0.52618,1.0708,0.91296,0.73612,0.84294,0.55085,1.5398,1.3954,1.7186,0.00015,0.00015,0.00015
163,0.79622,0.52682,1.0657,0.90615,0.73066,0.83759,0.55127,1.5397,1.3898,1.701,0.00014312,0.00014312,0.00014312
164,0.81031,0.54325,1.0675,0.8733,0.76223,0.84662,0.55236,1.4734,1.406,1.6566,0.00013625,0.00013625,0.00013625
165,0.79114,0.52451,1.0649,0.87732,0.7422,0.83348,0.55311,1.4761,1.4082,1.6534,0.00012937,0.00012937,0.00012937
166,0.80115,0.52492,1.0663,0.88551,0.73681,0.83351,0.55006,1.4834,1.4329,1.6646,0.0001225,0.0001225,0.0001225
167,0.80565,0.53631,1.0728,0.90284,0.73268,0.83807,0.54997,1.4873,1.468,1.6723,0.00011563,0.00011563,0.00011563
168,0.81167,0.53137,1.0739,0.90346,0.73409,0.84125,0.55155,1.4896,1.5008,1.6758,0.00010875,0.00010875,0.00010875
169,0.79893,0.51614,1.068,0.90812,0.73564,0.84217,0.55246,1.4785,1.4274,1.6669,0.00010187,0.00010187,0.00010187
170,0.8053,0.51981,1.0672,0.90723,0.73613,0.83859,0.54849,1.4723,1.4404,1.6697,9.50E-05,9.50E-05,9.50E-05
171,0.77211,0.4343,1.0477,0.8945,0.7333,0.83586,0.5347,1.5303,1.4408,1.7277,8.81E-05,8.81E-05,8.81E-05
172,0.74949,0.40613,1.0358,0.88451,0.72309,0.83792,0.53777,1.5156,1.3976,1.7053,8.13E-05,8.13E-05,8.13E-05
173,0.73438,0.40233,1.0242,0.89997,0.7275,0.84231,0.54246,1.5287,1.405,1.7086,7.44E-05,7.44E-05,7.44E-05
174,0.73109,0.39523,1.0195,0.88918,0.73351,0.83988,0.54166,1.5404,1.3763,1.7132,6.75E-05,6.75E-05,6.75E-05
175,0.72798,0.39572,1.0257,0.88713,0.73058,0.84396,0.54722,1.5381,1.374,1.7107,6.06E-05,6.06E-05,6.06E-05
176,0.73378,0.41506,1.0296,0.88114,0.7481,0.84388,0.54587,1.5407,1.3573,1.7153,5.38E-05,5.38E-05,5.38E-05
177,0.70869,0.38348,1.0158,0.87551,0.75713,0.85184,0.54743,1.5359,1.3834,1.7183,4.69E-05,4.69E-05,4.69E-05
178,0.7117,0.38592,1.0153,0.89744,0.7367,0.85007,0.54786,1.5393,1.3997,1.719,4.00E-05,4.00E-05,4.00E-05
179,0.71645,0.38877,1.0164,0.90243,0.73174,0.84611,0.5499,1.5394,1.4168,1.7139,3.31E-05,3.31E-05,3.31E-05
180,0.71484,0.38575,1.0248,0.8987,0.74067,0.84796,0.55076,1.5374,1.4035,1.7102,2.63E-05,2.63E-05,2.63E-05
