                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.6605,3.8534,1.7986,0.14001,0.22003,0.23424,0.11895,1.6497,3.9071,1.8515,0.00041266,0.00041266,0.00041266
2,1.5031,2.8328,1.5841,0.80782,0.315,0.41342,0.22883,1.635,2.6724,1.759,0.00082477,0.00082477,0.00082477
3,1.4994,2.3307,1.5387,0.51031,0.49261,0.5182,0.2978,1.5847,2.2698,1.7268,0.0012323,0.0012323,0.0012323
4,1.4437,1.9702,1.475,0.52771,0.57422,0.59055,0.34331,1.5784,2.0739,1.7028,0.0012294,0.0012294,0.0012294
5,1.4259,1.7938,1.4707,0.69593,0.52571,0.61747,0.36101,1.5377,1.8883,1.6515,0.0012294,0.0012294,0.0012294
6,1.4199,1.6662,1.4633,0.77742,0.51633,0.64792,0.38093,1.5166,1.8354,1.6575,0.0012225,0.0012225,0.0012225
7,1.3829,1.5477,1.4306,0.64264,0.59211,0.64409,0.3825,1.5325,1.7938,1.6759,0.0012156,0.0012156,0.0012156
8,1.3661,1.4892,1.4079,0.72227,0.61143,0.69477,0.41257,1.4874,1.6874,1.6337,0.0012087,0.0012087,0.0012087
9,1.3491,1.4676,1.4133,0.86017,0.58551,0.69152,0.41741,1.4959,1.6658,1.6518,0.0012019,0.0012019,0.0012019
10,1.3279,1.3902,1.3852,0.68203,0.63243,0.69614,0.43125,1.4215,1.5623,1.5774,0.001195,0.001195,0.001195
11,1.3424,1.3485,1.3877,0.71546,0.65274,0.72863,0.4418,1.484,1.5347,1.5932,0.0011881,0.0011881,0.0011881
12,1.3013,1.3048,1.3723,0.75297,0.65388,0.7193,0.43783,1.4766,1.6265,1.6045,0.0011813,0.0011813,0.0011813
13,1.3341,1.3016,1.3924,0.80533,0.5612,0.71296,0.43486,1.5195,1.6481,1.6646,0.0011744,0.0011744,0.0011744
14,1.2905,1.2561,1.3742,0.79652,0.6684,0.76232,0.46218,1.4838,1.5003,1.5933,0.0011675,0.0011675,0.0011675
15,1.2941,1.233,1.3769,0.73975,0.64896,0.71238,0.42708,1.5344,1.665,1.6571,0.0011606,0.0011606,0.0011606
16,1.2729,1.2171,1.3582,0.77501,0.6552,0.74868,0.46575,1.4544,1.5215,1.5921,0.0011538,0.0011538,0.0011538
17,1.2997,1.1967,1.3722,0.86008,0.63085,0.77253,0.476,1.4423,1.4395,1.5576,0.0011469,0.0011469,0.0011469
18,1.2549,1.132,1.3356,0.78029,0.66686,0.76132,0.46814,1.5083,1.4578,1.6125,0.00114,0.00114,0.00114
19,1.2378,1.1093,1.3289,0.87705,0.65519,0.78918,0.49227,1.4787,1.3837,1.59,0.0011331,0.0011331,0.0011331
20,1.2341,1.1441,1.3236,0.81514,0.65633,0.77491,0.47974,1.4762,1.4195,1.6055,0.0011263,0.0011263,0.0011263
21,1.2318,1.119,1.3227,0.78243,0.68434,0.77617,0.48212,1.4557,1.3926,1.5661,0.0011194,0.0011194,0.0011194
22,1.2379,1.0662,1.3316,0.84891,0.65144,0.77316,0.48115,1.4827,1.3846,1.5715,0.0011125,0.0011125,0.0011125
23,1.2189,1.1161,1.3103,0.8312,0.64742,0.78409,0.47989,1.446,1.3586,1.5759,0.0011056,0.0011056,0.0011056
24,1.1915,1.0474,1.2999,0.86032,0.60577,0.75682,0.46329,1.4813,1.3924,1.5867,0.0010988,0.0010988,0.0010988
25,1.2062,1.0501,1.3058,0.81701,0.66654,0.78615,0.48,1.4381,1.437,1.5922,0.0010919,0.0010919,0.0010919
26,1.2028,1.0377,1.3015,0.84411,0.69338,0.79909,0.50286,1.4412,1.3294,1.5853,0.001085,0.001085,0.001085
27,1.1783,0.99976,1.29,0.80224,0.72179,0.80471,0.50215,1.5024,1.3806,1.6153,0.0010781,0.0010781,0.0010781
28,1.1768,0.99574,1.2976,0.83739,0.70755,0.80901,0.50721,1.4689,1.3166,1.5825,0.0010713,0.0010713,0.0010713
29,1.1635,0.971,1.2715,0.82472,0.6716,0.79863,0.50901,1.4581,1.2966,1.5602,0.0010644,0.0010644,0.0010644
30,1.1606,0.96305,1.2797,0.87909,0.65456,0.79628,0.50423,1.5209,1.3325,1.6497,0.0010575,0.0010575,0.0010575
31,1.1658,0.95309,1.2719,0.79882,0.72901,0.8057,0.50842,1.482,1.3384,1.5854,0.0010506,0.0010506,0.0010506
32,1.1432,0.94043,1.2728,0.87052,0.69369,0.81257,0.50248,1.5248,1.2914,1.6308,0.0010438,0.0010438,0.0010438
33,1.1539,0.96867,1.2736,0.85697,0.66178,0.80745,0.5004,1.5468,1.2886,1.6613,0.0010369,0.0010369,0.0010369
34,1.1379,0.93334,1.2592,0.78279,0.72476,0.79432,0.49828,1.4881,1.375,1.61,0.00103,0.00103,0.00103
35,1.1506,0.93209,1.2689,0.82738,0.71741,0.80094,0.49697,1.4869,1.3671,1.6159,0.0010231,0.0010231,0.0010231
36,1.1369,0.90918,1.2633,0.81275,0.74029,0.79754,0.51106,1.5115,1.3109,1.6296,0.0010163,0.0010163,0.0010163
37,1.1217,0.90484,1.2553,0.85174,0.66086,0.78422,0.4824,1.5045,1.3779,1.6522,0.0010094,0.0010094,0.0010094
38,1.1448,0.92648,1.267,0.83771,0.73709,0.81076,0.51331,1.4924,1.3019,1.6281,0.0010025,0.0010025,0.0010025
39,1.1031,0.87293,1.2462,0.85544,0.69829,0.81047,0.515,1.4876,1.2888,1.6069,0.00099563,0.00099563,0.00099563
40,1.1216,0.8894,1.2423,0.84161,0.71298,0.8032,0.49882,1.5005,1.388,1.6304,0.00098875,0.00098875,0.00098875
41,1.1075,0.86172,1.2433,0.87106,0.72718,0.82056,0.51933,1.5388,1.2259,1.6626,0.00098187,0.00098187,0.00098187
42,1.1072,0.89525,1.2516,0.81836,0.71811,0.81664,0.52598,1.5337,1.2907,1.6794,0.000975,0.000975,0.000975
43,1.0877,0.86581,1.2358,0.87132,0.68859,0.81688,0.51835,1.5042,1.2645,1.6306,0.00096813,0.00096813,0.00096813
44,1.0874,0.82618,1.2276,0.83794,0.74967,0.82835,0.53619,1.4701,1.2848,1.5793,0.00096125,0.00096125,0.00096125
45,1.0798,0.83373,1.2217,0.8405,0.69628,0.79583,0.52065,1.4346,1.2822,1.5595,0.00095437,0.00095437,0.00095437
46,1.1004,0.84411,1.2365,0.8596,0.71094,0.82203,0.52724,1.4771,1.2599,1.6044,0.0009475,0.0009475,0.0009475
47,1.0922,0.84982,1.2432,0.83176,0.75301,0.83659,0.53485,1.5128,1.2014,1.649,0.00094062,0.00094062,0.00094062
48,1.0751,0.83308,1.209,0.873,0.66568,0.81004,0.52163,1.4242,1.2445,1.5341,0.00093375,0.00093375,0.00093375
49,1.0778,0.82979,1.2214,0.86623,0.70067,0.82187,0.53266,1.4843,1.297,1.6096,0.00092688,0.00092688,0.00092688
50,1.0814,0.81814,1.2244,0.8907,0.70993,0.82703,0.53507,1.4658,1.3805,1.6183,0.00092,0.00092,0.00092
51,1.0805,0.80797,1.2209,0.8886,0.71589,0.81738,0.51589,1.5343,1.2748,1.7004,0.00091313,0.00091313,0.00091313
52,1.0544,0.81329,1.2158,0.83145,0.73843,0.81034,0.52116,1.5213,1.2975,1.6511,0.00090625,0.00090625,0.00090625
53,1.0603,0.79606,1.2099,0.84585,0.72893,0.81501,0.51851,1.4555,1.3665,1.611,0.00089938,0.00089938,0.00089938
54,1.0502,0.78742,1.2123,0.83682,0.71095,0.82524,0.52809,1.5104,1.2388,1.6463,0.0008925,0.0008925,0.0008925
55,1.0656,0.80222,1.2233,0.85202,0.6887,0.81133,0.52287,1.487,1.2979,1.6282,0.00088562,0.00088562,0.00088562
56,1.0486,0.77309,1.1998,0.82578,0.72767,0.81434,0.5298,1.5401,1.2755,1.6927,0.00087875,0.00087875,0.00087875
57,1.064,0.7941,1.221,0.85848,0.71493,0.82309,0.52729,1.4717,1.2877,1.6109,0.00087188,0.00087188,0.00087188
58,1.0629,0.79814,1.2212,0.83149,0.7367,0.82735,0.53362,1.4793,1.3661,1.605,0.000865,0.000865,0.000865
59,1.0427,0.78519,1.1954,0.81886,0.74097,0.82597,0.5371,1.4922,1.2873,1.6467,0.00085813,0.00085813,0.00085813
60,1.0414,0.77776,1.2051,0.81279,0.74946,0.82131,0.53201,1.5591,1.2886,1.699,0.00085125,0.00085125,0.00085125
61,1.0381,0.76796,1.2068,0.8927,0.69309,0.81283,0.53002,1.5447,1.25,1.6989,0.00084438,0.00084438,0.00084438
62,1.0284,0.75241,1.1956,0.80672,0.76336,0.81933,0.53008,1.4523,1.3622,1.6013,0.0008375,0.0008375,0.0008375
63,1.0588,0.78264,1.2185,0.87432,0.7263,0.82649,0.52995,1.4825,1.3295,1.6234,0.00083062,0.00083062,0.00083062
64,1.0262,0.76946,1.1933,0.86392,0.73188,0.82653,0.52186,1.5569,1.3539,1.6756,0.00082375,0.00082375,0.00082375
65,1.0244,0.75098,1.1974,0.8961,0.71302,0.82313,0.53586,1.5152,1.3501,1.6698,0.00081688,0.00081688,0.00081688
66,1.0259,0.75967,1.1856,0.82864,0.71305,0.82332,0.53206,1.4954,1.3638,1.622,0.00081,0.00081,0.00081
67,1.0287,0.75469,1.1961,0.82576,0.72355,0.82445,0.53247,1.5267,1.3776,1.6907,0.00080313,0.00080313,0.00080313
68,1.0052,0.72163,1.1784,0.88869,0.71402,0.82985,0.53678,1.4764,1.3544,1.6216,0.00079625,0.00079625,0.00079625
